time,h_s,h_max,t_p
2025-02-06T12:00:00,0.298,0.444,12.603
2025-02-06T12:30:00,0.312,0.472,13.653
2025-02-06T13:00:00,0.297,0.524,12.603
2025-02-06T13:30:00,0.314,0.511,13.653
2025-02-06T14:00:00,0.311,0.442,12.603
2025-02-06T14:30:00,0.333,0.491,12.603
2025-02-06T15:00:00,0.345,0.453,12.603
2025-02-06T15:30:00,0.324,0.553,12.603
2025-02-06T16:00:00,0.344,0.49,12.603
2025-02-06T16:30:00,0.34,0.59,14.895
2025-02-06T17:00:00,0.317,0.479,14.895
2025-02-06T17:30:00,0.318,0.539,14.895
2025-02-06T18:00:00,0.335,0.441,14.895
2025-02-06T18:30:00,0.342,0.554,14.895
2025-02-06T19:00:00,0.332,0.539,14.895
2025-02-06T19:30:00,0.349,0.635,13.653
2025-02-06T20:00:00,0.338,0.509,13.653
2025-02-06T20:30:00,0.339,0.457,13.653
2025-02-06T21:00:00,0.329,0.538,13.653
2025-02-06T21:30:00,0.323,0.602,13.653
2025-02-06T22:00:00,0.314,0.461,14.895
2025-02-06T22:30:00,0.296,0.443,12.603
2025-02-06T23:00:00,0.302,0.442,12.603
2025-02-06T23:30:00,0.438,0.988,16.384
2025-02-07T00:00:00,0.62,1.113,2.643
2025-02-07T00:30:00,0.682,1.001,2.731
2025-02-07T01:00:00,0.587,0.967,13.653
2025-02-07T01:30:00,0.528,0.974,14.895
2025-02-07T02:00:00,0.428,0.664,14.895
2025-02-07T02:30:00,0.392,0.781,14.895
2025-02-07T03:00:00,0.352,0.631,13.653
2025-02-07T03:30:00,0.315,0.544,14.895
2025-02-07T04:00:00,0.291,0.422,13.653
2025-02-07T04:30:00,0.295,0.467,13.653
2025-02-07T05:00:00,0.317,0.507,14.895
2025-02-07T05:30:00,0.318,0.572,14.895
2025-02-07T06:00:00,0.342,0.489,14.895
2025-02-07T06:30:00,0.333,0.569,14.895
2025-02-07T07:00:00,0.314,0.512,13.653
2025-02-07T07:30:00,0.332,0.461,13.653
2025-02-07T08:00:00,0.373,0.669,13.653
2025-02-07T08:30:00,0.284,0.447,12.603
2025-02-07T09:00:00,0.256,0.458,12.603
2025-02-07T09:30:00,0.247,0.44,12.603
2025-02-07T10:00:00,0.221,0.428,12.603
2025-02-07T10:30:00,0.228,0.392,12.603
2025-02-07T11:00:00,0.264,0.445,12.603
2025-02-07T11:30:00,0.244,0.44,12.603
2025-02-07T12:00:00,0.231,0.394,12.603
2025-02-07T12:30:00,0.208,0.331,12.603
2025-02-07T13:00:00,0.203,0.369,12.603
2025-02-07T13:30:00,0.223,0.485,12.603
2025-02-07T14:00:00,0.202,0.357,12.603
2025-02-07T14:30:00,0.189,0.378,12.603
